id_commande,date_commande,id_client,ville,categorie,nom_produit,prix_unitaire,quantite,remise,cout_livraison,methode_paiement,canal_marketing,cout_marketing,statut_commande,CA_Net,Marge_Brute,profit_net,mois,indicateur_retour,nombre_commandes_par_client,valeur_vie_client
CMD100000,2025-12-11,C0379,Brazzaville,Mode,Produit_Mode_9,49.72,3,0.07,2.45,Mobile Money,Email,1.0,Livrée,138.7188,49.22279999999999,45.77279999999999,December,0,23,2212.105
CMD100001,2025-07-27,C1827,Libreville,Beauté,Produit_Beauté_3,37.18,2,0.1,6.89,Paiement à la livraison,Instagram Ads,8.04,Livrée,66.924,22.308000000000007,7.378000000000007,July,0,4,151.56680000000006
CMD100004,2025-11-28,C0003,Libreville,Électronique,Produit_Électronique_45,498.71,2,0.02,5.16,Mobile Money,Email,0.55,Livrée,977.4716,379.01959999999997,373.3096,November,0,25,2626.2725
CMD100005,2025-10-17,C0079,Dakar,Maison,Produit_Maison_7,71.17,3,0.1,8.63,Virement,Instagram Ads,5.45,Livrée,192.159,64.053,49.973,October,0,16,909.716
CMD100006,2025-07-24,C0183,Abidjan,Mode,Produit_Mode_3,23.04,3,0.1,3.59,Virement,Instagram Ads,9.23,Livrée,62.208000000000006,20.736000000000004,7.916000000000004,July,0,14,687.7705000000001
CMD100007,2025-10-26,C0193,Lomé,Beauté,Produit_Beauté_41,26.08,3,0.14,2.51,Virement,Instagram Ads,6.16,Livrée,67.2864,20.342400000000005,11.672400000000005,October,0,20,1794.1579000000002
CMD100008,2025-12-06,C0740,Abidjan,Mode,Produit_Mode_3,52.19,3,0.15,4.05,Carte,Email,1.77,Livrée,133.0845,39.1425,33.3225,December,0,3,119.47699999999998
CMD100009,2025-12-17,C0148,Dakar,Électronique,Produit_Électronique_7,562.75,2,0.08,9.26,Mobile Money,Instagram Ads,5.31,Livrée,1035.46,360.1600000000001,345.5900000000001,December,0,18,839.6126000000002
CMD100010,2025-10-06,C0325,Abidjan,Électronique,Produit_Électronique_24,305.29,3,0.09,8.43,Mobile Money,Instagram Ads,14.3,Livrée,833.4417000000001,283.91970000000003,261.1897,October,0,14,711.6688
CMD100011,2025-09-29,C0136,Cotonou,Électronique,Produit_Électronique_39,489.25,3,0.08,2.0,Carte,Instagram Ads,8.56,Livrée,1350.3300000000002,469.6800000000002,459.1200000000002,September,0,12,1206.3514000000002
